order_id,customer_id,order_date,status,payment_method
1,940,2022-12-07 09:41:23,cancelled,bank_transfer
2,706,2024-06-30 10:09:52,completed,debit_card
3,520,2022-04-21 08:21:52,cancelled,bank_transfer
4,2249,2022-11-27 06:29:31,completed,gift_card
5,2240,2022-08-24 11:43:04,completed,paypal
6,339,2023-01-25 17:30:16,pending,credit_card
7,472,2024-03-15 23:30:21,completed,debit_card
8,2212,2024-01-13 10:27:21,completed,bank_transfer
9,364,2023-04-04 18:46:58,completed,bank_transfer
10,1104,2024-05-21 08:17:44,completed,debit_card
11,2287,2024-05-20 22:30:14,completed,credit_card
12,21,2024-01-16 22:46:35,cancelled,debit_card
13,1260,2024-06-26 10:50:05,completed,credit_card
14,2165,2023-07-14 07:47:12,completed,debit_card
15,96,2022-06-23 17:06:21,completed,debit_card
16,447,2024-01-25 08:47:26,returned,bank_transfer
17,236,2023-08-20 08:41:42,completed,paypal
18,501,2024-03-19 08:04:42,pending,paypal
19,1659,2024-06-21 08:13:05,completed,gift_card
20,758,2023-03-04 00:58:02,pending,credit_card
21,1935,2024-10-15 09:36:28,cancelled,debit_card
22,2155,2024-08-07 03:57:47,returned,debit_card
23,571,2024-04-14 07:05:20,completed,paypal
24,190,2024-10-15 03:29:40,completed,paypal
25,2489,2022-07-01 00:59:34,completed,paypal
26,2344,2024-02-05 17:40:20,cancelled,gift_card
27,475,2024-02-01 11:04:06,returned,credit_card
28,219,2022-07-29 13:29:30,completed,credit_card
29,65,2024-10-12 09:17:35,returned,paypal
30,2264,2024-07-23 03:15:51,returned,debit_card
31,602,2023-11-08 20:35:00,completed,debit_card
32,797,2023-02-18 06:55:52,completed,paypal
33,1811,2022-12-23 07:51:39,completed,bank_transfer
34,1779,2024-05-24 01:05:24,returned,paypal
35,1667,2022-05-30 07:53:14,completed,bank_transfer
36,493,2023-05-31 06:59:31,pending,debit_card
37,673,2024-01-10 08:08:45,completed,credit_card
38,1372,2024-10-26 00:55:40,completed,credit_card
