product_id,name,category,subcategory,unit_price,cost,in_stock_units,source_status
1,Black Camera,Electronics,Cameras,433.54,224.24,270.0,Both sources
2,Maintain Laptop,Electronics,Laptops,807.37,351.48,16.0,Both sources
3,Start Accessorie,Electronics,Accessories,978.72,367.95,91.0,Both sources
4,Movement Headphone,Electronics,Headphones,17.97,12.57,,Database only
5,Yeah Smartphone,Electronics,Smartphones,503.34,180.1,161.0,Both sources
6,Important Laptop,Electronics,Laptops,531.19,192.72,,Database only
7,Beyond Accessorie,Electronics,Accessories,357.42,167.06,104.0,Both sources
8,Plant Smartphone,Electronics,Smartphones,295.82,122.24,489.0,Both sources
9,Right Laptop,Electronics,Laptops,66.57,26.82,5.0,Both sources
10,After Laptop,Electronics,Laptops,309.24,235.47,474.0,Both sources
11,Change Smartphone,Electronics,Smartphones,216.27,129.85,46.0,Both sources
12,Get Smartphone,Electronics,Smartphones,156.75,77.9,238.0,Both sources
13,Support Headphone,Electronics,Headphones,152.16,71.45,,Database only
14,Find Headphone,Electronics,Headphones,90.93,61.01,12.0,Both sources
15,Sea Headphone,Electronics,Headphones,536.46,192.64,50.0,Both sources
16,Yes Smartphone,Electronics,Smartphones,245.66,101.09,,Database only
17,Light Laptop,Electronics,Laptops,953.82,375.23,,Database only
18,Rest Camera,Electronics,Cameras,35.67,20.03,423.0,Both sources
19,Improve Smartphone,Electronics,Smartphones,727.02,269.65,23.0,Both sources
20,Arm Accessorie,Electronics,Accessories,548.49,335.04,182.0,Both sources
21,Right Camera,Electronics,Cameras,614.24,247.11,216.0,Both sources
22,Scientist Smartphone,Electronics,Smartphones,205.71,98.81,461.0,Both sources
23,Cost Headphone,Electronics,Headphones,235.35,174.8,39.0,Both sources
24,Concern Headphone,Electronics,Headphones,696.97,282.68,55.0,Both sources
25,Protect Headphone,Electronics,Headphones,282.92,149.7,132.0,Both sources
26,Agent Laptop,Electronics,Laptops,259.69,123.49,364.0,Both sources
27,Into Laptop,Electronics,Laptops,686.85,342.59,,Database only
28,Series Accessorie,Electronics,Accessories,749.19,279.01,402.0,Both sources
29,Pressure Accessorie,Electronics,Accessories,103.82,57.5,251.0,Both sources
30,Hospital Laptop,Electronics,Laptops,477.17,214.5,118.0,Both sources
31,Wide Laptop,Electronics,Laptops,976.57,373.86,430.0,Both sources
32,East Smartphone,Electronics,Smartphones,338.4,127.28,,Database only
