review_id,product_id,customer_id,rating,review_date,review_text,review_text_was_missing
1,93,1712,5.0,2022-02-23,Green accept share must trial member drug.,False
2,283,1532,5.0,2024-07-29,Though bring himself know some pattern according to free.,False
3,3,234,5.0,2022-11-10,No written review,True
4,91,1502,5.0,2022-08-07,Free theory none so myself follow not control commercial say side find house discuss.,False
5,221,2197,4.0,2022-08-11,No written review,True
6,70,2120,4.0,2022-12-14,Industry sound condition across reason leader government cost eight work.,False
7,14,1288,5.0,2022-01-29,Reason call traditional boy song success difficult.,False
8,96,234,4.0,2022-09-08,Accept country red collection positive part produce attack trade modern buy of major above hand.,False
9,189,1945,4.0,2024-06-09,Its significant me deep he nearly bank open.,False
10,137,2323,5.0,2022-06-16,No written review,True
11,30,310,1.0,2024-10-20,Notice less win cold real high might remember seek significant true long.,False
12,257,1842,4.0,2022-02-23,Teach attack without participant choice training look common meeting forward think term price yet catch reveal.,False
13,247,466,5.0,2024-03-12,No written review,True
14,295,1819,4.0,2022-08-23,Class approach necessary past Mr personal stuff director production choice edge everyone maintain everything.,False
15,65,872,3.0,2023-11-02,Room under team security at wind what officer report red.,False
16,108,1038,4.0,2023-04-20,No written review,True
17,86,992,3.0,2024-12-03,Save same camera plant without everybody research chance system.,False
18,267,1126,4.0,2022-04-05,Response marriage sure camera then during responsibility among since.,False
19,295,25,2.0,2024-11-25,No written review,True
20,273,2497,5.0,2024-02-27,Me individual though imagine how able worker arm resource.,False
21,61,261,,2024-05-04,No written review,True
22,62,187,5.0,2023-01-19,Discuss stock lead green total benefit Mr car audience age class our indeed third rate score.,False
23,263,674,5.0,2023-06-30,No written review,True
24,9,1052,5.0,2024-11-01,Fear tend American war old what design want ahead easy whole must every per.,False
25,19,920,5.0,2023-05-03,Class nothing soon data budget main may happen newspaper happy subject success traditional.,False
26,127,610,4.0,2024-03-13,West theory American doctor hour check now sound gun art ok single situation feel.,False
27,12,1220,4.0,2024-04-17,Kid issue woman range painting country different.,False
28,120,2383,5.0,2023-01-25,Gas few page cold couple suffer history its street because why eight skill.,False
29,222,769,5.0,2023-09-04,No written review,True
30,267,383,3.0,2022-01-06,Try school wait never fly pull big method message.,False
31,55,1192,5.0,2022-11-24,Move manage worry wear pay science us.,False
32,44,751,4.0,2024-01-09,Police right traditional represent price number herself determine nice.,False
33,169,1509,5.0,2023-04-12,Thought result while example leave when threat project half door.,False
34,241,878,5.0,2024-05-28,End dark spring speak drive bad strong summer more if.,False
35,178,2058,5.0,2023-11-06,No written review,True
36,161,119,4.0,2024-05-01,Woman environment tell sing hospital ready push material somebody husband Republican result.,False
37,56,2366,5.0,2022-03-24,No written review,True
38,57,1740,5.0,2024-05-17,Return wall trouble friend current whose job nor yard establish hit.,False
39,285,1957,3.0,2022-03-05,No written review,True
40,35,425,3.0,2023-12-31,Since him southern issue town call computer experience against recently account forward stuff peace vote meet.,False
41,254,2474,1.0,2023-06-25,No written review,True
42,137,1197,3.0,2024-07-09,Continue human central skill he high few land both two add thank.,False
43,131,2320,3.0,2024-10-01,Carry happy response would enter his value experience young west practice.,False
44,299,1446,2.0,2023-01-31,No written review,True
45,8,1487,5.0,2023-04-25,Crime society church indeed break since though degree special laugh include price leader bit traditional tough.,False
46,68,372,5.0,2022-05-03,No written review,True
47,261,1608,3.0,2022-07-22,No written review,True
48,35,1087,3.0,2022-04-15,Move rather business vote state turn center.,False
49,287,1029,5.0,2024-10-26,Bag role land trouble news five decide spring price.,False
50,54,1608,5.0,2022-10-25,Item town something employee such practice quickly any market.,False
51,56,829,3.0,2023-06-25,No written review,True
52,129,221,1.0,2023-03-08,Thank value quality reality in game score challenge toward.,False
53,5,2446,5.0,2023-01-18,Laugh officer hundred food could life born treat population another shake record spring sport.,False
54,74,15,3.0,2023-04-12,As until happen power probably animal agent charge task condition campaign finally floor production war.,False
55,259,2467,2.0,2023-08-28,International page dinner off social shoulder design huge south.,False
