session_id,customer_id,session_date,device,duration_minutes,pages_viewed
1,922,2024-02-13 19:46:35,desktop,6.63,4
2,2243,2023-07-16 00:06:15,tablet,8.97,3
3,1699,2024-04-09 03:39:21,mobile,4.43,5
4,1861,2023-02-17 20:49:10,tablet,0.2,3
5,870,2024-10-17 06:53:48,tablet,2.09,4
6,312,2023-07-30 23:16:04,mobile,5.44,4
7,56,2023-08-13 06:33:43,desktop,6.27,8
8,1217,2023-05-14 09:44:21,mobile,10.97,2
9,1467,2024-09-25 18:38:01,tablet,13.4,2
10,2428,2023-09-30 00:09:45,mobile,2.1,2
11,20,2023-10-25 08:36:18,mobile,7.87,9
12,1993,2023-07-04 02:18:42,desktop,9.22,1
13,1963,2023-05-16 10:51:02,tablet,0.78,4
14,2015,2023-12-19 19:17:42,mobile,0.2,4
15,904,2023-10-20 13:01:23,desktop,10.99,2
16,927,2023-07-25 01:37:02,desktop,6.66,10
17,433,2024-01-29 01:55:42,mobile,2.2,4
18,1067,2024-02-15 16:55:34,tablet,10.33,5
19,2048,2024-02-23 22:43:48,desktop,1.22,5
20,587,2023-05-19 23:26:50,desktop,6.41,7
21,2029,2023-07-20 21:11:45,mobile,6.45,6
22,818,2023-04-13 10:40:01,tablet,3.74,4
23,1562,2023-07-05 18:24:17,tablet,7.82,12
24,1014,2024-11-30 15:58:30,mobile,0.2,1
25,686,2024-07-25 23:49:15,tablet,17.35,5
26,611,2023-07-12 13:03:02,tablet,1.09,6
27,24,2024-08-14 01:13:23,tablet,8.62,1
28,1862,2024-10-16 02:41:50,mobile,6.85,1
29,700,2024-01-07 09:42:21,mobile,9.84,6
30,596,2023-03-30 17:12:26,desktop,0.79,7
31,127,2023-09-16 07:26:11,mobile,6.39,2
32,2054,2023-01-25 11:00:22,tablet,12.61,6
33,508,2023-07-27 14:15:35,desktop,11.43,4
34,44,2024-02-19 10:32:33,desktop,10.97,5
35,867,2023-11-11 08:51:00,desktop,8.66,7
36,295,2023-02-20 00:43:28,desktop,10.03,3
37,1835,2024-05-12 11:51:36,tablet,1.71,3
38,2347,2023-07-23 07:16:10,mobile,0.2,2
39,288,2023-03-31 01:02:43,desktop,0.2,1
40,2178,2023-09-01 20:27:04,mobile,3.59,9
41,1593,2024-09-26 00:33:50,desktop,0.52,10
42,1492,2023-12-08 11:09:37,desktop,11.08,4
43,2061,2023-10-11 02:09:40,tablet,4.92,2
44,240,2024-02-15 02:16:26,desktop,7.32,5
45,882,2023-10-03 20:48:52,tablet,1.86,6
46,284,2023-03-03 14:15:06,tablet,2.59,4
47,525,2024-04-25 18:22:24,desktop,0.33,5
48,565,2024-06-21 14:37:24,tablet,7.89,5
49,2089,2024-02-12 07:59:57,mobile,11.62,2
50,1974,2023-08-28 16:48:20,tablet,5.45,5
51,896,2024-12-30 10:06:48,mobile,8.78,4
52,851,2024-12-17 15:26:56,desktop,3.72,3
53,1650,2024-09-04 09:10:03,mobile,1.79,3
54,2001,2023-12-18 14:36:49,desktop,3.87,3
55,515,2024-01-26 21:46:20,mobile,5.55,9
56,1725,2024-07-20 05:24:52,desktop,7.27,6
57,1535,2024-09-24 14:53:24,mobile,4.76,7
58,599,2023-11-13 11:46:14,desktop,11.9,1
59,1477,2024-09-03 22:08:26,desktop,10.88,3
60,241,2023-03-25 13:22:15,desktop,7.02,4
61,750,2023-08-13 09:40:48,desktop,1.6,10
62,283,2023-07-12 11:19:12,mobile,6.81,1
63,1182,2023-10-15 06:45:47,tablet,0.51,4
64,1110,2024-11-14 06:40:52,mobile,2.66,4
65,2367,2024-04-15 16:34:26,mobile,6.12,3
66,1226,2023-02-01 06:30:35,tablet,5.68,7
67,249,2023-10-12 05:29:11,tablet,2.41,1
68,1520,2023-08-24 17:04:46,mobile,9.94,8
69,1623,2023-10-30 16:30:17,desktop,2.23,1
70,2437,2024-07-24 05:32:56,tablet,10.52,7
71,982,2024-11-05 04:35:36,mobile,13.33,2
72,1224,2023-04-22 22:54:00,desktop,1.67,2
73,728,2023-05-02 17:31:00,desktop,3.37,7
74,1406,2024-11-01 07:40:27,mobile,12.92,5
75,2331,2024-06-23 15:30:51,desktop,5.33,6
76,868,2023-06-27 08:40:42,tablet,2.06,2
77,2109,2024-03-08 07:15:15,desktop,7.3,3
78,1547,2023-09-02 17:27:27,mobile,11.09,3
79,1077,2024-01-13 18:48:59,mobile,6.78,1
80,1566,2024-03-21 05:21:18,desktop,8.81,1
81,1585,2024-03-05 10:22:05,mobile,4.89,11
82,2056,2023-02-02 18:23:15,desktop,0.58,4
83,1125,2023-10-02 07:08:47,tablet,6.72,5
84,1630,2024-01-23 04:35:51,desktop,4.89,1
85,1737,2024-11-12 11:30:42,mobile,10.36,4
86,642,2024-08-28 19:01:34,mobile,9.41,2
87,1654,2024-10-06 07:07:40,mobile,4.02,2
88,2448,2023-12-27 09:53:00,tablet,11.86,9
89,991,2024-03-18 23:47:33,desktop,7.91,6
90,815,2023-11-30 23:01:49,tablet,9.28,11
91,798,2024-11-27 02:12:45,desktop,10.95,3
92,369,2024-07-02 13:51:15,mobile,8.23,7
93,1597,2024-07-14 04:44:35,mobile,12.01,4
94,960,2023-08-24 20:30:38,tablet,10.5,2
95,129,2024-01-15 23:49:05,desktop,7.54,7
96,2076,2024-11-28 19:32:27,tablet,3.91,4
97,187,2024-09-20 02:06:34,tablet,8.91,3
98,2167,2024-12-10 10:14:16,mobile,10.8,5
99,1331,2024-04-26 16:29:58,desktop,0.94,1
100,114,2024-05-22 16:45:41,desktop,12.1,6
101,1567,2023-01-15 16:47:17,tablet,6.24,8
102,1615,2023-11-17 13:38:28,tablet,7.5,2
103,11,2023-02-08 22:28:51,mobile,11.4,4
104,546,2023-03-21 13:14:26,mobile,12.07,8
105,2342,2023-02-19 20:29:32,mobile,11.06,1
106,1910,2023-03-05 03:35:07,tablet,6.18,10
107,1107,2023-05-23 15:20:37,desktop,11.16,6
108,89,2023-11-07 05:09:27,desktop,7.07,5
109,1656,2024-02-20 10:33:38,desktop,11.5,6
110,2117,2024-04-28 16:10:44,mobile,3.37,3
111,1503,2023-09-14 02:03:57,tablet,4.63,1
112,1624,2024-09-11 09:26:51,desktop,2.17,3
113,828,2023-04-14 04:24:32,tablet,4.46,1
114,651,2024-06-14 10:33:24,mobile,2.2,10
115,1502,2024-04-10 07:13:05,tablet,12.48,8
116,1408,2023-11-04 11:31:03,tablet,9.58,4
117,144,2023-01-25 04:29:39,mobile,4.48,6
118,1482,2024-06-09 22:13:20,tablet,0.2,2
119,270,2024-03-11 19:35:19,mobile,9.76,5
120,725,2023-08-04 17:50:57,tablet,2.52,4
121,31,2024-07-29 06:33:07,mobile,5.21,3
122,2188,2023-09-02 16:48:29,mobile,11.33,9
123,1045,2024-03-03 16:27:59,mobile,6.55,2
124,2156,2024-02-10 15:53:02,tablet,9.4,1
125,1062,2023-10-12 02:59:18,mobile,1.68,5
126,1796,2024-10-14 19:57:52,tablet,2.73,1
127,782,2023-10-14 07:08:22,tablet,9.23,5
128,619,2024-03-25 09:43:21,mobile,11.65,5
129,744,2023-03-26 12:22:51,mobile,15.1,5
130,1800,2024-11-08 15:17:52,mobile,5.12,3
131,662,2023-08-18 18:25:54,tablet,0.72,4
132,2017,2023-12-19 08:20:48,tablet,4.01,5
133,2089,2024-03-30 18:53:45,tablet,0.2,5
134,1700,2024-06-20 01:31:43,tablet,10.59,8
135,404,2024-11-18 19:00:11,desktop,1.93,1
136,130,2023-06-18 01:44:48,tablet,9.07,6
137,74,2023-10-04 00:34:25,tablet,2.52,5
138,2270,2023-05-26 10:18:06,mobile,12.35,4
139,667,2024-05-14 21:34:39,desktop,1.53,8
140,1878,2023-06-14 20:33:05,mobile,4.85,3
141,2041,2024-12-05 05:00:56,mobile,7.87,7
142,2020,2023-07-22 14:31:43,mobile,6.22,9
143,71,2024-02-02 21:50:26,tablet,5.49,3
144,2179,2024-09-18 00:48:10,tablet,11.62,1
145,2008,2024-02-15 06:55:47,desktop,9.01,4
146,385,2023-07-28 12:27:17,tablet,6.46,1
147,427,2023-07-23 05:35:18,mobile,5.72,6
148,89,2024-10-02 06:59:41,desktop,4.82,5
149,1543,2023-08-30 06:41:35,mobile,6.08,2
150,504,2024-10-13 03:38:47,desktop,8.34,6
151,790,2023-02-24 23:50:11,tablet,0.2,9
152,2497,2024-01-10 11:10:45,desktop,6.16,4
153,2440,2023-05-22 20:30:25,tablet,3.45,5
154,307,2024-05-13 04:15:23,mobile,5.02,2
155,1741,2023-06-19 06:32:06,mobile,7.52,4
156,1737,2024-04-24 21:44:31,tablet,4.86,8
157,1559,2024-07-03 15:25:13,tablet,5.64,4
158,1605,2024-12-11 11:53:50,desktop,3.06,6
159,1570,2023-11-16 23:30:04,desktop,8.97,3
160,1296,2023-09-12 20:13:16,desktop,3.02,1
161,1197,2024-05-30 08:52:03,desktop,1.85,2
162,1070,2024-04-11 08:59:45,desktop,5.72,1
163,1545,2023-01-27 02:44:31,tablet,5.46,5
164,1202,2024-08-08 14:49:50,mobile,4.67,1
165,86,2023-11-05 11:59:41,tablet,6.35,1
166,1854,2024-10-01 23:34:26,tablet,6.07,8
167,828,2024-12-11 17:20:28,mobile,1.53,4
168,329,2024-12-08 08:32:42,tablet,1.26,1
169,1489,2024-08-04 08:14:27,desktop,11.61,8
170,2010,2023-07-17 19:01:57,desktop,1.31,1
171,1421,2023-06-29 15:16:26,tablet,1.84,9
172,1815,2024-07-02 00:45:41,mobile,10.37,5
173,1657,2023-06-26 23:15:18,desktop,0.66,4
174,1000,2024-02-13 03:01:43,tablet,8.68,6
175,1021,2023-05-26 00:06:29,tablet,9.55,2
176,1147,2024-09-22 14:24:00,mobile,5.18,6
177,1371,2023-02-05 15:57:44,tablet,6.96,3
178,1786,2023-11-08 20:45:01,desktop,13.82,1
179,269,2024-08-27 08:22:55,desktop,2.92,4
180,1896,2024-05-12 08:37:12,desktop,5.73,1
181,776,2024-04-02 20:12:28,mobile,9.61,9
182,77,2024-09-22 10:20:42,tablet,5.17,1
183,1436,2023-06-12 08:22:41,tablet,5.47,5
184,2355,2023-12-25 07:20:39,tablet,6.26,10
185,955,2023-07-10 12:51:45,mobile,8.63,6
186,1701,2023-12-08 15:40:25,tablet,12.25,6
187,23,2023-01-29 17:31:20,tablet,11.78,1
188,778,2023-07-11 16:17:34,mobile,7.64,2
189,1563,2024-05-11 05:33:47,desktop,4.6,5
190,1335,2023-07-22 04:16:22,tablet,3.35,1
191,2171,2023-09-01 05:00:17,desktop,9.05,4
192,1413,2023-12-29 07:01:07,tablet,2.23,3
193,1126,2023-05-01 07:29:55,mobile,16.72,1
194,1537,2023-09-25 11:36:23,tablet,6.81,1
195,457,2023-05-03 17:00:57,desktop,7.45,4
196,2294,2023-09-26 12:17:00,mobile,12.14,4
197,2182,2024-07-21 02:18:04,desktop,4.36,3
198,1468,2024-08-01 21:10:45,mobile,0.2,2
199,1174,2024-06-13 18:11:38,mobile,14.31,4
200,593,2023-04-27 18:56:21,desktop,1.8,2
201,964,2023-02-07 07:47:04,mobile,7.15,3
202,739,2023-06-27 12:12:45,desktop,0.2,3
203,2474,2023-10-09 10:01:24,desktop,10.27,4
204,158,2024-04-18 05:15:58,tablet,1.54,5
205,1481,2024-09-14 05:10:57,desktop,5.16,1
206,429,2023-09-13 07:08:43,tablet,3.09,5
207,2476,2023-01-03 10:18:00,desktop,4.02,2
208,2233,2024-03-08 08:51:20,mobile,5.91,2
209,1959,2023-02-11 21:48:35,tablet,2.64,7
210,2431,2023-12-11 18:04:46,desktop,0.2,6
211,166,2024-05-13 18:46:34,tablet,2.24,1
212,2066,2023-12-15 14:53:38,tablet,7.81,5
213,1816,2024-11-30 13:15:05,mobile,2.49,7
214,569,2024-09-10 10:51:54,desktop,1.93,5
215,1517,2024-04-16 22:24:27,desktop,3.01,3
216,357,2023-02-25 13:02:57,desktop,8.7,8
217,1903,2024-08-31 21:57:45,mobile,12.92,1
218,176,2023-05-09 01:12:47,mobile,6.99,8
219,249,2024-05-20 21:08:50,desktop,9.1,6
220,2050,2024-02-03 22:36:36,desktop,5.93,1
221,602,2023-06-02 09:22:15,mobile,2.77,2
222,2430,2023-11-21 20:20:38,desktop,10.16,8
223,1149,2023-06-10 20:50:15,mobile,3.4,7
224,2320,2023-05-05 22:41:50,mobile,11.96,7
225,649,2024-04-17 08:21:36,mobile,9.26,6
226,2264,2023-04-29 12:45:47,tablet,5.0,5
227,927,2023-02-04 17:40:40,desktop,2.12,1
228,2249,2024-11-21 20:43:03,mobile,3.29,3
229,1348,2023-09-01 23:39:07,tablet,0.2,4
230,596,2024-07-27 12:49:53,desktop,2.35,5
231,713,2023-11-09 02:57:41,mobile,11.27,4
232,1555,2024-11-30 18:55:32,tablet,6.62,1
233,883,2024-12-18 02:31:53,desktop,10.33,4
234,1773,2023-06-05 00:40:15,desktop,6.0,4
235,1505,2024-10-17 17:14:17,desktop,6.31,1
236,1709,2023-07-27 21:10:13,desktop,5.09,7
237,1743,2023-11-01 08:58:23,mobile,22.35,2
238,545,2024-11-19 21:54:48,desktop,11.08,1
239,1951,2024-06-26 05:08:34,desktop,6.8,2
240,1878,2024-04-25 13:54:33,tablet,3.23,6
241,472,2024-06-16 22:26:03,mobile,6.46,6
242,2371,2024-08-22 05:35:33,mobile,5.0,4
243,2024,2023-08-27 01:08:49,tablet,8.78,11
244,2011,2024-05-05 20:39:48,desktop,5.83,12
245,693,2024-10-06 13:10:31,desktop,5.05,7
246,1038,2024-03-16 15:56:35,tablet,1.4,4
247,178,2023-11-15 20:07:25,desktop,5.93,4
248,2354,2024-12-07 03:57:31,tablet,6.26,2
249,177,2024-09-09 07:57:00,mobile,7.7,7
250,1471,2024-09-30 15:48:12,desktop,2.4,4
251,127,2023-03-26 01:06:42,tablet,1.54,1
252,1473,2023-11-24 07:49:28,mobile,7.9,5
253,1032,2024-02-22 04:43:54,desktop,15.4,6
254,1256,2023-06-21 07:09:55,desktop,4.29,5
255,2084,2024-01-16 16:57:46,desktop,12.52,6
256,777,2023-07-28 05:20:11,tablet,5.9,3
257,1470,2023-01-02 13:54:53,mobile,7.09,1
258,1902,2023-09-03 21:03:38,mobile,10.17,5
259,75,2024-11-10 20:53:19,tablet,3.81,2
260,1822,2024-06-22 23:29:43,desktop,1.91,5
261,386,2023-12-28 11:17:44,mobile,2.94,13
262,1280,2024-10-27 11:05:03,desktop,2.83,1
263,340,2024-08-28 07:27:46,tablet,2.65,3
264,1229,2023-03-22 12:43:37,tablet,0.2,5
265,928,2023-04-02 10:27:57,mobile,2.08,3
266,1431,2023-11-12 11:45:38,tablet,5.91,8
267,815,2023-04-23 01:39:18,desktop,6.76,6
268,2261,2024-07-13 10:44:47,desktop,7.73,10
269,552,2023-05-30 21:15:33,tablet,1.67,2
270,1484,2023-06-11 04:07:52,desktop,5.66,6
271,1083,2023-06-28 20:34:25,mobile,13.12,5
272,1191,2024-02-01 02:23:48,tablet,7.29,1
273,1634,2024-06-19 19:26:52,tablet,9.01,5
274,893,2023-12-16 01:32:40,desktop,10.8,10
275,2251,2024-04-30 00:47:14,desktop,3.12,5
276,1483,2023-10-17 16:16:53,desktop,5.13,3
277,2491,2023-03-30 07:45:29,desktop,7.66,5
278,195,2023-04-08 05:13:47,mobile,1.54,1
279,55,2024-02-03 23:51:53,desktop,8.3,3
280,2402,2023-04-03 07:47:42,mobile,11.75,9
281,264,2023-07-26 23:28:37,desktop,14.72,2
282,193,2023-06-04 03:25:52,desktop,4.5,5
283,674,2024-07-25 18:54:27,mobile,2.87,8
284,440,2024-02-23 07:37:33,tablet,10.55,3
285,1912,2023-06-09 22:58:43,mobile,8.48,6
286,1853,2023-03-07 06:56:57,mobile,4.59,6
287,293,2023-10-29 05:29:34,mobile,7.02,4
288,718,2023-01-20 03:11:13,tablet,7.18,10
289,255,2024-05-26 11:56:30,tablet,4.18,1
290,1971,2023-01-01 09:29:30,desktop,6.63,1
291,1297,2024-03-03 00:07:59,mobile,5.46,6
292,2088,2024-03-31 19:59:33,desktop,6.89,5
293,181,2024-10-29 14:37:05,mobile,4.75,2
294,2107,2024-04-01 10:58:18,tablet,1.14,2
295,418,2024-06-03 21:17:07,mobile,10.02,6
296,477,2023-09-25 03:17:12,mobile,0.2,3
297,1424,2023-06-12 01:12:23,desktop,5.71,7
298,2084,2024-05-15 00:10:31,tablet,8.78,2
299,562,2024-11-16 14:01:44,tablet,3.74,1
300,142,2024-10-23 11:38:01,tablet,12.08,9
301,332,2024-09-25 04:23:08,mobile,8.46,5
302,2099,2024-12-15 21:22:54,mobile,5.96,5
303,610,2024-05-21 17:24:45,desktop,7.47,3
304,760,2023-07-09 23:23:04,mobile,0.2,4
305,2170,2024-09-24 15:48:06,desktop,5.7,6
306,161,2024-06-09 01:45:52,desktop,4.57,4
307,1851,2024-05-18 05:20:19,desktop,2.21,4
308,43,2023-07-22 12:14:30,tablet,0.2,8
309,2443,2023-05-21 09:10:30,tablet,4.51,7
310,2269,2024-03-18 12:59:38,tablet,3.05,1
311,994,2023-01-15 23:23:00,desktop,9.87,4
312,1815,2024-09-27 18:42:13,tablet,8.58,8
313,914,2023-11-23 08:34:50,desktop,7.73,7
314,1942,2024-09-19 06:44:46,mobile,5.83,5
315,474,2023-09-14 06:52:48,tablet,0.85,8
316,627,2023-07-17 11:52:52,tablet,9.12,6
317,2057,2024-05-01 07:57:42,mobile,9.7,7
318,1812,2023-11-01 05:40:03,tablet,1.98,7
319,345,2023-06-07 22:41:14,tablet,6.61,3
320,2293,2023-03-25 09:55:25,desktop,3.42,4
321,1189,2024-12-18 03:38:08,desktop,0.2,4
322,492,2024-06-25 03:22:56,desktop,10.83,12
323,1639,2023-09-10 14:04:30,tablet,7.9,3
324,542,2024-04-06 02:15:52,mobile,10.16,2
325,2307,2023-07-05 09:19:24,desktop,1.03,5
