order_month,revenue,completed_orders,active_customers,average_discount,time_index,predicted_revenue,residual
2022-01-01,118989.1235,94,91,0.04079601990049752,0,106262.11286824937,12727.010631750629
2022-02-01,98522.474,73,70,0.04447852760736196,1,89161.13499597952,9361.339004020483
2022-03-01,146335.2375,72,70,0.04798850574712644,2,89812.43976008042,56522.797739919566
2022-04-01,94299.4155,88,87,0.05433526011560694,3,97329.35470882684,-3029.939208826836
2022-05-01,129804.717,95,92,0.04704545454545454,4,114209.28524708643,15595.431752913573
2022-06-01,104061.4535,91,87,0.04129353233830846,5,123559.17186990433,-19497.718369904323
2022-07-01,179580.6905,95,94,0.04606481481481482,6,131772.6065841478,47808.083915852185
2022-08-01,85096.113,95,92,0.046118721461187215,7,130043.48915310824,-44947.37615310824
2022-09-01,95715.9915,90,88,0.04896907216494845,8,129064.80250973703,-33348.81100973702
2022-10-01,151387.2075,100,98,0.049570815450643776,9,139786.96980275237,11600.23769724762
2022-11-01,148885.5955,118,116,0.043359375,10,168847.7705516379,-19962.175051637896
2022-12-01,120171.71399999999,117,115,0.045895522388059704,11,168137.45441635154,-47965.740416351546
2023-01-01,141562.7545,107,104,0.04224137931034483,12,169318.2263510569,-27755.47185105688
2023-02-01,133709.156,97,94,0.045890410958904115,13,160125.15198090355,-26415.995980903564
2023-03-01,172375.605,127,122,0.0446360153256705,14,182219.5354323096,-9843.9304323096
2023-04-01,105371.8765,106,104,0.03770491803278689,15,194299.3370829025,-88927.4605829025
2023-05-01,309813.1025,120,117,0.04528985507246377,16,191759.50517559188,118053.5973244081
2023-06-01,223140.9825,123,120,0.03692307692307692,17,214117.73107205573,9023.251427944284
2023-07-01,199147.8715,158,153,0.04417910447761194,18,223998.9172347298,-24851.045734729792
2023-08-01,162520.525,121,117,0.034782608695652174,19,222903.30943805748,-60382.78443805748
2023-09-01,320133.4355,143,141,0.040491803278688523,20,239049.1291690603,81084.30633093973
2023-10-01,189160.3245,157,146,0.04822485207100592,21,210896.7901296626,-21736.46562966262
2023-11-01,317851.9065,144,143,0.0400611620795107,22,253138.6998943575,64713.20660564248
2023-12-01,242211.4035,165,158,0.043560606060606064,23,247330.55330230913,-5119.149802309141
2024-01-01,253948.8165,192,182,0.035576923076923075,24,276594.94457449263,-22646.128074492648
2024-02-01,222779.239,163,158,0.04438356164383561,25,260123.24754202444,-37344.00854202444
2024-03-01,259922.5855,165,158,0.041729323308270685,26,264841.91569535184,-4919.330195351853
2024-04-01,299346.6885,176,171,0.04,27,286933.92806726904,12412.760432730953
2024-05-01,346176.695,192,183,0.0389261744966443,28,292373.4306093082,53803.264390691824
2024-06-01,349339.636,185,175,0.04223529411764706,29,282783.13654057396,66556.49945942604
2024-07-01,234514.685,221,210,0.043811394891944994,30,307076.17546582886,-72561.49046582886
2024-08-01,452538.7545,232,217,0.040515653775322284,31,313069.12434915104,139469.63015084894
2024-09-01,261946.165,199,190,0.04558139534883721,32,303847.765995295,-41901.60099529501
2024-10-01,264332.774,246,232,0.04334600760456274,33,330384.71506781835,-66051.94106781838
2024-11-01,354349.7295,203,189,0.03855042016806723,34,313311.61356214,41038.11593786004
2024-12-01,280443.528,231,218,0.0386317907444668,35,341004.4967998949,-60560.96879989491
