customer_id,last_order_date,frequency,monetary,recency,R,F,M,rfm_score,rfm_segment
1,2023-12-25 12:20:29,2,1731.762,373,2,2,3,7,Hibernating
2,2024-10-13 01:01:30,2,2567.687,80,4,2,3,9,Potential
3,2024-03-27 23:25:51,6,12657.7395,280,3,5,5,13,Potential
5,2024-10-20 20:46:44,1,2723.514,73,4,1,4,9,Potential
7,2024-07-31 14:10:23,1,1670.3825000000002,154,4,1,3,8,Potential
8,2024-03-27 19:06:56,2,1667.8355000000001,280,3,2,3,8,Potential
9,2024-10-04 22:02:13,1,858.971,89,4,1,1,6,Potential
10,2024-10-13 18:36:41,1,1099.7295,80,4,1,2,7,Potential
11,2024-08-22 16:15:21,2,659.466,132,4,2,1,7,Potential
12,2023-12-13 09:47:21,3,3413.9665,385,2,4,4,10,At Risk
13,2024-08-04 02:41:49,2,2800.4345,150,4,2,4,10,Potential
14,2023-05-26 14:21:33,1,2730.2599999999998,586,1,1,4,6,Hibernating
15,2024-10-24 14:59:42,4,4439.5185,69,5,5,5,15,Champions
16,2023-12-13 08:01:13,1,406.85249999999996,385,2,1,1,4,Hibernating
17,2023-03-11 19:02:54,2,4663.4304999999995,662,1,2,5,8,Hibernating
18,2024-09-01 17:11:50,5,7106.353,122,4,5,5,14,Champions
19,2023-11-26 16:43:52,2,424.56399999999996,402,2,2,1,5,Hibernating
20,2024-12-30 19:18:13,2,2447.23,2,5,2,3,10,Potential
23,2024-07-12 06:28:09,2,922.8889999999999,173,3,2,2,7,Potential
24,2024-12-26 15:06:31,1,182.25,6,5,1,1,7,Potential
25,2024-11-28 04:27:29,2,3351.4269999999997,34,5,2,4,11,Potential
26,2023-11-27 12:33:25,2,2098.002,401,2,2,3,7,Hibernating
29,2023-11-11 05:54:07,3,36670.4725,417,2,4,5,11,At Risk
30,2024-11-09 12:04:59,2,4031.8635,53,5,2,4,11,Potential
31,2023-04-26 09:23:58,2,1405.864,616,1,2,2,5,Hibernating
33,2024-11-02 14:20:17,3,2435.81,60,5,4,3,12,Loyal
34,2024-02-20 06:00:15,2,1270.7759999999998,316,2,2,2,6,Hibernating
35,2024-12-05 00:15:45,3,1961.15,27,5,4,3,12,Loyal
36,2024-08-16 18:38:50,3,3060.8345,138,4,4,4,12,Champions
37,2024-10-06 10:22:43,2,2112.579,87,4,2,3,9,Potential
38,2024-06-08 07:38:17,2,945.4365,207,3,2,2,7,Potential
39,2024-03-27 20:53:03,1,753.5305000000001,280,3,1,1,5,Potential
40,2024-08-31 23:47:28,1,1338.7055,123,4,1,2,7,Potential
41,2023-11-26 16:55:28,1,976.57,402,2,1,2,5,Hibernating
42,2024-01-22 05:20:47,2,3107.957,345,2,2,4,8,Hibernating
43,2023-04-29 17:56:13,3,1929.671,613,1,4,3,8,At Risk
44,2024-08-25 15:05:15,1,507.032,129,4,1,1,6,Potential
45,2024-10-11 07:01:54,1,505.5225,82,4,1,1,6,Potential
47,2022-07-06 16:54:56,1,165.16000000000003,910,1,1,1,3,Hibernating
48,2023-11-12 18:15:32,3,4677.3465,416,2,4,5,11,At Risk
49,2024-01-10 07:11:11,1,859.22,357,2,1,1,4,Hibernating
50,2024-08-16 17:37:47,1,458.05,138,4,1,1,6,Potential
51,2023-07-05 09:31:33,1,3160.7070000000003,546,1,1,4,6,Hibernating
52,2024-09-04 11:20:26,3,1591.599,119,4,4,2,10,Loyal
53,2024-12-23 18:39:01,3,2520.053,9,5,4,3,12,Loyal
54,2024-10-20 02:47:54,4,2441.4539999999997,73,4,5,3,12,Loyal
55,2022-01-16 22:36:57,1,41.76,1081,1,1,1,3,Hibernating
56,2024-09-20 04:11:04,3,2906.377,103,4,4,4,12,Champions
57,2024-09-07 01:24:02,3,2271.3505,116,4,4,3,11,Loyal
58,2024-09-25 18:36:50,2,3574.341,98,4,2,4,10,Potential
59,2024-12-03 00:39:34,1,545.259,29,5,1,1,7,Potential
60,2024-08-22 01:16:39,1,3627.5,132,4,1,4,9,Potential
61,2024-06-19 23:11:35,2,1171.911,196,3,2,2,7,Potential
63,2024-04-16 01:48:39,1,1357.6885000000002,260,3,1,2,6,Potential
64,2024-10-27 02:52:09,3,2726.352,66,5,4,4,13,Champions
65,2024-12-14 14:13:51,1,1018.5190000000001,18,5,1,2,8,Potential
66,2024-05-02 18:05:39,3,25757.0915,244,3,4,5,12,Potential
67,2023-04-04 17:19:19,2,2397.36,638,1,2,3,6,Hibernating
68,2022-05-07 23:44:11,1,1559.33,970,1,1,2,4,Hibernating
69,2024-09-24 13:27:06,2,2576.4905,99,4,2,3,9,Potential
70,2024-11-30 23:47:03,4,2082.4055,32,5,5,3,13,Loyal
71,2023-11-08 19:56:25,2,2386.23,420,2,2,3,7,Hibernating
73,2024-11-16 13:10:47,5,14251.1165,46,5,5,5,15,Champions
76,2024-01-15 02:56:25,1,335.52000000000004,352,2,1,1,4,Hibernating
77,2024-11-06 02:21:27,1,438.44,56,5,1,1,7,Potential
78,2023-11-16 03:52:05,2,2374.5074999999997,412,2,2,3,7,Hibernating
79,2024-11-01 07:56:27,2,534.891,61,5,2,1,8,Potential
80,2022-06-09 16:45:08,1,1749.061,937,1,1,3,5,Hibernating
81,2024-04-28 23:51:05,2,1348.896,248,3,2,2,7,Potential
82,2024-10-11 03:29:32,3,2565.237,82,4,4,3,11,Loyal
83,2024-02-29 07:23:37,2,779.5600000000001,307,2,2,1,5,Hibernating
84,2024-12-22 03:10:30,2,3900.069,10,5,2,4,11,Potential
86,2023-12-25 02:59:25,2,1786.0475000000001,373,2,2,3,7,Hibernating
88,2022-07-23 00:03:12,1,338.4,893,1,1,1,3,Hibernating
89,2024-11-09 15:46:28,6,4099.0865,53,5,5,5,15,Champions
90,2024-12-19 17:43:14,3,1950.4715,13,5,4,3,12,Loyal
91,2024-10-10 14:15:03,2,4644.121499999999,83,4,2,5,11,Potential
92,2024-08-11 12:30:09,1,835.5799999999999,143,4,1,1,6,Potential
93,2024-04-23 18:33:08,3,1893.1634999999999,253,3,4,3,10,Potential
94,2024-10-06 01:14:41,5,7635.8625,87,4,5,5,14,Champions
95,2024-06-19 16:00:22,3,4848.6630000000005,196,3,4,5,12,Potential
96,2024-03-31 14:37:48,5,4741.057,276,3,5,5,13,Potential
97,2023-01-03 10:16:41,3,4950.239,729,1,4,5,10,At Risk
99,2022-11-23 23:02:47,1,726.578,770,1,1,1,3,Hibernating
100,2024-04-15 08:06:21,3,3880.641,261,3,4,4,11,Potential
101,2024-08-08 12:39:07,3,3562.1320000000005,146,4,4,4,12,Champions
102,2024-09-10 09:02:20,2,493.7015,113,4,2,1,7,Potential
103,2024-11-29 06:38:00,1,216.829,33,5,1,1,7,Potential
104,2024-08-21 23:06:34,2,1935.3899999999999,133,4,2,3,9,Potential
105,2024-05-21 04:23:09,4,3462.121,225,3,5,4,12,Potential
107,2024-04-21 18:07:38,1,-550.053,255,3,1,1,5,Potential
108,2024-06-29 11:50:20,4,1820.9885,186,3,5,3,11,Potential
109,2024-08-28 10:57:48,2,2538.0265,126,4,2,3,9,Potential
110,2024-01-06 02:39:47,2,2357.0085,361,2,2,3,7,Hibernating
111,2024-08-23 06:38:18,1,3685.0645,131,4,1,4,9,Potential
112,2023-07-31 15:34:03,3,5012.860500000001,520,2,4,5,11,At Risk
113,2023-09-22 07:47:39,2,985.188,467,2,2,2,6,Hibernating
114,2024-09-27 02:49:04,1,1131.15,96,4,1,2,7,Potential
115,2024-05-22 22:47:03,1,1906.3029999999999,224,3,1,3,7,Potential
116,2023-05-02 06:49:40,1,1366.46,610,1,1,2,4,Hibernating
117,2024-12-01 07:21:42,1,583.297,31,5,1,1,7,Potential
118,2023-05-07 17:58:21,3,2336.61,605,1,4,3,8,At Risk
119,2024-07-23 06:43:33,2,1280.6275,162,3,2,2,7,Potential
120,2023-07-17 06:04:31,2,2329.725,534,1,2,3,6,Hibernating
121,2024-11-22 07:50:25,4,5428.728,40,5,5,5,15,Champions
122,2023-10-06 07:04:19,2,3466.4700000000003,453,2,2,4,8,Hibernating
123,2024-04-05 17:30:49,4,38698.7715,271,3,5,5,13,Potential
124,2024-05-26 15:55:53,2,2838.4335,220,3,2,4,9,Potential
125,2024-07-20 08:12:21,2,1275.08,165,3,2,2,7,Potential
126,2023-09-05 05:30:49,4,6454.5165,484,2,5,5,12,At Risk
127,2024-08-28 02:33:55,2,893.86,126,4,2,2,8,Potential
128,2024-03-13 07:59:39,1,782.811,294,3,1,1,5,Potential
129,2023-06-15 16:50:36,2,-48.2569999999999,566,1,2,1,4,Hibernating
130,2022-08-20 14:08:24,1,1959.6640000000002,865,1,1,3,5,Hibernating
131,2024-11-20 09:24:21,3,8847.9995,42,5,4,5,14,Champions
132,2024-07-20 17:52:06,4,5952.331,165,3,5,5,13,Potential
133,2023-08-03 08:51:51,4,4511.196,517,2,5,5,12,At Risk
134,2022-02-26 13:54:48,1,1716.28,1040,1,1,3,5,Hibernating
135,2024-03-06 07:13:57,2,1280.395,301,3,2,2,7,Potential
136,2022-07-12 02:43:49,1,598.378,904,1,1,1,3,Hibernating
137,2024-07-12 16:43:03,3,5579.486,173,3,4,5,12,Potential
138,2023-10-07 12:05:06,1,932.57,452,2,1,2,5,Hibernating
139,2024-02-27 09:20:53,1,1204.9289999999999,309,2,1,2,5,Hibernating
140,2023-11-20 11:54:03,2,2053.084,408,2,2,3,7,Hibernating
141,2023-08-21 15:40:36,3,6753.825,499,2,4,5,11,At Risk
142,2024-11-24 21:35:23,4,5365.8685,38,5,5,5,15,Champions
144,2024-09-03 18:44:42,1,493.26750000000004,120,4,1,1,6,Potential
145,2024-11-13 04:00:43,3,4338.0675,49,5,4,5,14,Champions
146,2022-04-21 20:46:38,1,311.746,986,1,1,1,3,Hibernating
147,2024-10-13 18:02:04,2,1770.6934999999999,80,4,2,3,9,Potential
148,2024-11-14 05:43:01,2,618.732,48,5,2,1,8,Potential
149,2024-08-28 15:47:57,2,1480.228,126,4,2,2,8,Potential
150,2023-07-24 22:25:51,2,2342.2725,527,2,2,3,7,Hibernating
151,2024-01-30 04:55:21,1,902.9939999999999,337,2,1,2,5,Hibernating
152,2024-11-25 21:48:00,5,3548.9069999999997,37,5,5,4,14,Champions
154,2024-12-13 11:30:52,3,880.997,19,5,4,1,10,Loyal
155,2022-12-13 13:53:32,1,1348.01,750,1,1,2,4,Hibernating
156,2024-12-29 05:40:20,3,1893.981,3,5,4,3,12,Loyal
157,2024-05-16 18:16:32,2,1829.83,230,3,2,3,8,Potential
159,2024-04-17 03:47:45,2,877.253,259,3,2,1,6,Potential
160,2024-10-07 03:19:12,3,1323.741,86,4,4,2,10,Loyal
162,2024-12-17 16:54:05,3,6641.137,15,5,4,5,14,Champions
163,2023-10-20 23:21:08,3,13986.105,439,2,4,5,11,At Risk
164,2023-07-30 14:44:22,2,3811.8030000000003,521,2,2,4,8,Hibernating
165,2024-07-01 15:31:13,2,680.835,184,3,2,1,6,Potential
166,2024-06-29 22:06:35,2,2188.8065,186,3,2,3,8,Potential
167,2024-09-12 22:06:43,2,3412.0975000000003,111,4,2,4,10,Potential
168,2024-07-03 14:57:50,1,534.208,182,3,1,1,5,Potential
169,2023-05-28 07:23:49,2,2420.9595,584,1,2,3,6,Hibernating
171,2023-10-20 01:01:21,1,68.362,439,2,1,1,4,Hibernating
173,2023-12-12 08:27:23,1,393.754,386,2,1,1,4,Hibernating
175,2024-03-29 11:08:58,4,4290.55,278,3,5,5,13,Potential
176,2023-09-22 09:39:38,3,1673.224,467,2,4,3,9,At Risk
178,2024-09-20 20:41:48,3,3078.8845,103,4,4,4,12,Champions
179,2024-06-29 10:49:56,6,5675.3855,186,3,5,5,13,Potential
180,2023-07-28 14:35:59,1,967.038,523,2,1,2,5,Hibernating
181,2023-06-17 17:42:57,1,355.8,564,1,1,1,3,Hibernating
182,2024-07-09 09:28:16,1,1086.858,176,3,1,2,6,Potential
183,2022-04-28 03:53:36,1,919.593,979,1,1,2,4,Hibernating
184,2024-05-06 18:01:59,1,2966.3199999999997,240,3,1,4,8,Potential
185,2023-10-30 09:16:42,2,1694.114,429,2,2,3,7,Hibernating
186,2024-12-05 03:42:40,3,2378.4045,27,5,4,3,12,Loyal
187,2023-11-02 02:04:37,2,3849.7915,426,2,2,4,8,Hibernating
188,2023-05-28 08:07:33,2,1121.868,584,1,2,2,5,Hibernating
189,2024-05-27 11:08:08,2,357.69849999999997,219,3,2,1,6,Potential
190,2024-10-15 03:29:40,3,1878.6215000000002,78,4,4,3,11,Loyal
191,2023-10-28 00:46:29,1,1522.322,431,2,1,2,5,Hibernating
192,2023-09-30 21:18:49,1,2589.3439999999996,459,2,1,3,6,Hibernating
193,2024-08-14 18:39:26,2,2027.339,140,4,2,3,9,Potential
194,2022-05-17 08:33:14,1,289.23699999999997,960,1,1,1,3,Hibernating
195,2024-10-07 18:56:58,4,2360.17,86,4,5,3,12,Loyal
197,2023-02-06 10:24:47,2,1287.83,695,1,2,2,5,Hibernating
198,2023-10-02 02:15:33,2,1940.019,457,2,2,3,7,Hibernating
200,2024-12-28 22:09:06,2,2318.17,4,5,2,3,10,Potential
201,2022-04-26 01:27:49,1,445.65,981,1,1,1,3,Hibernating
202,2024-11-26 23:25:22,2,3854.7320000000004,36,5,2,4,11,Potential
203,2024-08-23 16:04:43,1,1256.716,131,4,1,2,7,Potential
204,2024-12-31 09:21:57,1,1194.246,1,5,1,2,8,Potential
205,2023-03-30 06:55:51,1,705.4635,643,1,1,1,3,Hibernating
206,2024-08-04 06:03:57,1,638.37,150,4,1,1,6,Potential
207,2024-05-24 01:54:03,2,26716.8865,222,3,2,5,10,Potential
208,2024-08-06 01:47:50,2,714.5894999999999,148,4,2,1,7,Potential
209,2024-12-22 16:50:07,3,4274.2275,10,5,4,5,14,Champions
210,2022-11-11 07:52:00,2,2091.129,782,1,2,3,6,Hibernating
211,2023-10-24 05:32:53,1,2379.7545,435,2,1,3,6,Hibernating
212,2024-01-28 19:30:33,4,11136.477499999999,339,2,5,5,12,At Risk
213,2024-07-04 15:45:41,2,349.06,181,3,2,1,6,Potential
214,2024-06-27 10:24:35,1,1552.0,188,3,1,2,6,Potential
215,2023-10-12 23:23:07,3,4789.381,447,2,4,5,11,At Risk
216,2024-11-23 15:42:38,2,1991.7800000000002,39,5,2,3,10,Potential
217,2024-03-10 08:26:54,1,514.85,297,3,1,1,5,Potential
218,2023-05-01 07:47:37,1,751.6735,611,1,1,1,3,Hibernating
219,2024-04-19 08:26:56,3,2360.916,257,3,4,3,10,Potential
220,2023-08-04 02:32:30,5,7929.914,516,2,5,5,12,At Risk
221,2022-03-16 19:35:24,1,740.18,1022,1,1,1,3,Hibernating
222,2024-10-31 23:57:45,4,2634.1675,62,5,5,4,14,Champions
223,2023-01-21 06:18:30,1,206.01000000000002,711,1,1,1,3,Hibernating
225,2024-08-15 18:41:04,1,205.4565,139,4,1,1,6,Potential
226,2024-08-12 05:03:59,2,2050.5775,142,4,2,3,9,Potential
228,2024-06-03 13:58:35,4,3886.7495,212,3,5,4,12,Potential
229,2024-11-07 06:31:12,7,15743.820999999998,55,5,5,5,15,Champions
230,2024-05-28 10:48:51,3,-33318.041,218,3,4,1,8,Potential
231,2023-11-01 10:44:44,2,554.49,427,2,2,1,5,Hibernating
232,2024-03-20 18:11:41,1,1927.0265,287,3,1,3,7,Potential
234,2022-12-17 17:45:19,1,440.12999999999994,746,1,1,1,3,Hibernating
235,2024-02-19 14:53:41,2,3350.727,317,2,2,4,8,Hibernating
236,2023-08-20 08:41:42,3,1235.7725,500,2,4,2,8,Potential
237,2024-07-19 04:39:48,4,14359.09,166,3,5,5,13,Potential
238,2022-04-07 04:27:46,1,970.345,1000,1,1,2,4,Hibernating
239,2023-06-03 08:13:53,2,3762.0805,578,1,2,4,7,Hibernating
240,2024-12-03 11:03:35,4,23088.072,29,5,5,5,15,Champions
241,2023-05-24 12:04:42,1,275.21,588,1,1,1,3,Hibernating
242,2024-07-01 18:16:10,1,2112.5765,184,3,1,3,7,Potential
243,2024-06-28 22:34:41,4,6376.746,187,3,5,5,13,Potential
244,2024-11-17 02:01:14,2,3898.679,45,5,2,4,11,Potential
245,2024-12-23 02:49:10,2,1155.1725000000001,9,5,2,2,9,Potential
246,2024-10-27 11:44:45,3,3300.967,66,5,4,4,13,Champions
247,2023-01-04 16:51:14,2,838.128,728,1,2,1,4,Hibernating
248,2024-07-11 15:56:18,3,3327.2419999999997,174,3,4,4,11,Potential
249,2023-03-02 14:07:06,1,78.3655,671,1,1,1,3,Hibernating
250,2023-09-20 13:06:04,2,2946.6655,469,2,2,4,8,Hibernating
251,2024-12-05 18:09:35,4,4919.436,27,5,5,5,15,Champions
252,2023-03-21 18:11:48,1,621.4639999999999,652,1,1,1,3,Hibernating
253,2024-11-25 13:50:02,4,2869.17,37,5,5,4,14,Champions
254,2023-01-31 06:03:03,2,1357.21,701,1,2,2,5,Hibernating
255,2022-12-14 00:39:02,2,2624.3385,749,1,2,4,7,Hibernating
256,2023-12-27 20:28:20,1,1785.06,371,2,1,3,6,Hibernating
257,2024-04-23 04:16:29,3,5615.227,253,3,4,5,12,Potential
258,2023-07-29 10:33:51,2,863.6359999999999,522,2,2,1,5,Hibernating
259,2024-02-14 13:58:51,3,1431.4395,322,2,4,2,8,Potential
260,2024-11-20 11:26:48,4,5301.951,42,5,5,5,15,Champions
261,2023-01-15 22:56:40,2,1893.001,717,1,2,3,6,Hibernating
263,2024-11-02 21:50:00,4,3901.3199999999997,60,5,5,4,14,Champions
264,2024-12-12 01:01:29,3,5413.5395,20,5,4,5,14,Champions
265,2024-12-13 12:16:35,3,3810.4890000000005,19,5,4,4,13,Champions
266,2024-06-27 07:05:00,3,3203.93,188,3,4,4,11,Potential
267,2024-06-30 11:57:09,2,1099.3815,185,3,2,2,7,Potential
268,2022-08-15 15:00:51,1,329.441,870,1,1,1,3,Hibernating
269,2024-07-19 05:48:04,4,2875.611,166,3,5,4,12,Potential
270,2022-02-25 17:34:22,2,3663.5550000000003,1041,1,2,4,7,Hibernating
271,2023-10-19 10:19:27,1,737.877,440,2,1,1,4,Hibernating
272,2023-06-26 21:23:59,2,2826.14,555,1,2,4,7,Hibernating
273,2024-01-13 09:58:09,2,1350.3075000000001,354,2,2,2,6,Hibernating
274,2024-07-04 07:27:09,3,1770.4009999999998,181,3,4,3,10,Potential
275,2024-05-17 21:50:56,2,3959.268,229,3,2,4,9,Potential
276,2024-12-18 17:06:56,4,11516.446,14,5,5,5,15,Champions
277,2024-06-07 23:19:58,4,7247.340000000001,208,3,5,5,13,Potential
278,2024-02-01 22:04:43,3,2073.8005,335,2,4,3,9,At Risk
279,2024-06-30 01:02:22,1,328.75,185,3,1,1,5,Potential
281,2024-12-11 03:24:43,2,4900.442,21,5,2,5,12,Potential
282,2024-08-17 10:48:18,3,7174.619,137,4,4,5,13,Champions
283,2024-09-22 21:44:18,2,1026.328,101,4,2,2,8,Potential
284,2024-12-28 23:29:37,4,6570.412,4,5,5,5,15,Champions
285,2024-03-12 05:13:47,4,5059.821,295,3,5,5,13,Potential
286,2022-09-08 09:13:43,2,3643.4415,846,1,2,4,7,Hibernating
287,2023-12-28 09:12:16,2,2060.035,370,2,2,3,7,Hibernating
