order_month,net_revenue
2022-01-01,118989.1235
2022-02-01,98522.474
2022-03-01,146335.2375
2022-04-01,94299.4155
2022-05-01,129804.717
2022-06-01,104061.4535
2022-07-01,179580.6905
2022-08-01,85096.113
2022-09-01,95715.9915
2022-10-01,151387.2075
2022-11-01,148885.5955
2022-12-01,120171.71399999999
2023-01-01,141562.7545
2023-02-01,133709.156
2023-03-01,172375.605
2023-04-01,105371.8765
2023-05-01,309813.1025
2023-06-01,223140.9825
2023-07-01,199147.8715
2023-08-01,162520.525
2023-09-01,320133.4355
2023-10-01,189160.3245
2023-11-01,317851.9065
2023-12-01,242211.4035
2024-01-01,253948.8165
2024-02-01,222779.239
2024-03-01,259922.5855
2024-04-01,299346.6885
2024-05-01,346176.695
2024-06-01,349339.636
2024-07-01,234514.685
2024-08-01,452538.7545
2024-09-01,261946.165
2024-10-01,264332.774
2024-11-01,354349.7295
2024-12-01,280443.528
