country,payment_method,order_count,payment_method_share_percent
Australia,gift_card,165,22.27
Australia,credit_card,162,21.86
Australia,debit_card,141,19.03
Australia,paypal,137,18.49
Australia,bank_transfer,136,18.35
Canada,credit_card,152,21.41
Canada,gift_card,149,20.99
Canada,paypal,146,20.56
Canada,debit_card,140,19.72
Canada,bank_transfer,123,17.32
France,paypal,73,22.32
France,debit_card,67,20.49
France,gift_card,67,20.49
France,bank_transfer,62,18.96
France,credit_card,58,17.74
Germany,debit_card,137,22.1
Germany,gift_card,134,21.61
Germany,paypal,124,20.0
Germany,credit_card,115,18.55
Germany,bank_transfer,110,17.74
India,credit_card,66,23.0
India,debit_card,61,21.25
India,paypal,59,20.56
India,bank_transfer,51,17.77
India,gift_card,50,17.42
Singapore,credit_card,87,22.42
Singapore,gift_card,80,20.62
Singapore,debit_card,79,20.36
Singapore,bank_transfer,73,18.81
Singapore,paypal,69,17.78
Thailand,debit_card,70,21.88
Thailand,gift_card,70,21.88
Thailand,bank_transfer,67,20.94
Thailand,credit_card,57,17.81
Thailand,paypal,56,17.5
UK,debit_card,151,23.37
UK,bank_transfer,141,21.83
UK,credit_card,132,20.43
UK,gift_card,119,18.42
UK,paypal,103,15.94
USA,paypal,236,22.22
USA,debit_card,212,19.96
USA,gift_card,209,19.68
USA,credit_card,205,19.3
USA,bank_transfer,200,18.83
