customer_id,average_rating,completed_orders
2,4.5,2
3,5.0,6
7,4.5,1
8,1.0,2
9,4.666666666666667,1
10,4.5,1
11,3.5,2
12,4.0,3
13,4.0,2
14,3.4,1
15,4.0,4
16,4.2,1
17,3.5,2
18,4.333333333333333,5
20,5.0,2
23,4.0,2
24,2.0,1
25,2.5,2
26,5.0,2
29,5.0,3
30,3.3333333333333335,2
33,5.0,3
34,3.5,2
35,2.6666666666666665,3
36,5.0,3
37,3.5,2
38,4.0,2
39,4.333333333333333,1
40,4.5,1
42,4.0,2
43,4.0,3
45,5.0,1
47,5.0,1
49,4.5,1
50,5.0,1
51,4.5,1
52,5.0,3
53,4.0,3
54,4.5,4
55,3.6,1
56,4.5,3
57,3.5,3
58,4.0,2
59,5.0,1
60,2.75,1
61,3.0,2
63,3.0,1
64,2.5,3
65,3.0,1
66,5.0,3
67,4.0,2
70,4.0,4
73,5.0,5
78,5.0,2
79,5.0,2
81,2.0,2
82,4.5,3
84,5.0,2
86,4.0,2
88,5.0,1
89,3.3333333333333335,6
90,4.5,3
91,3.0,2
92,5.0,1
94,5.0,5
95,5.0,3
96,4.5,5
97,4.25,3
99,3.0,1
101,3.3333333333333335,3
102,4.75,2
103,4.0,1
105,4.0,4
107,3.6,1
108,4.0,4
109,3.6666666666666665,2
110,4.0,2
112,4.0,3
113,3.5,2
114,5.0,1
115,3.5,1
116,5.0,1
117,3.0,1
118,4.0,3
119,4.0,2
120,5.0,2
121,4.5,4
122,4.4,2
123,5.0,4
124,4.0,2
125,4.333333333333333,2
126,5.0,4
127,5.0,2
128,3.5,1
129,3.0,2
130,4.0,1
131,4.0,3
132,5.0,4
133,4.0,4
134,5.0,1
135,5.0,2
136,4.5,1
137,3.0,3
138,4.666666666666667,1
139,2.5,1
140,5.0,2
141,3.5,3
144,4.0,1
145,4.333333333333333,3
146,3.5,1
147,5.0,2
148,3.0,2
150,3.5,2
151,3.0,1
156,4.25,3
157,5.0,2
159,3.75,2
160,4.0,3
162,5.0,3
163,3.0,3
164,3.0,2
166,4.5,2
167,4.8,2
168,4.5,1
169,1.0,2
171,4.0,1
173,5.0,1
176,5.0,3
179,5.0,6
180,5.0,1
182,4.0,1
183,3.0,1
184,5.0,1
185,2.5,2
187,4.5,2
188,4.0,2
190,1.0,3
191,2.0,1
192,3.0,1
193,4.0,2
194,4.0,1
