order_date,active_customers,completed_orders,net_revenue,revenue_per_active_customer,active_customers_4_week_ma,revenue_4_week_ma
2022-01-02,1,1,121.19149999999999,121.19149999999999,1.0,121.19149999999999
2022-01-09,10,10,6556.0565,655.60565,5.5,3338.624
2022-01-16,25,26,25027.3055,1001.09222,12.0,10568.1845
2022-01-23,23,24,28278.7365,1229.5102826086957,14.75,14995.822499999998
2022-01-30,27,27,53311.854,1974.5131111111111,21.25,28293.488125
2022-02-06,20,21,20205.361,1010.26805,23.75,31705.814250000003
2022-02-13,16,16,28834.0275,1802.12671875,21.5,32657.49475
2022-02-20,13,13,7642.7895,587.9068846153846,19.0,27498.508
2022-02-27,26,26,41788.664,1607.2563076923075,18.75,24617.7105
2022-03-06,12,12,14338.6135,1194.8844583333332,16.75,23151.023624999998
2022-03-13,21,21,18954.3155,902.5864523809524,18.0,20681.095624999998
2022-03-20,13,13,18101.386,1392.4143076923076,18.0,23295.744749999998
2022-03-27,18,18,93607.62800000001,5200.423777777778,16.0,36250.48575
2022-04-03,17,17,12240.869,720.0511176470588,17.25,35726.049625
2022-04-10,24,24,21313.9005,888.0791875,18.0,36315.945875000005
2022-04-17,17,17,24504.6435,1441.4496176470586,19.0,37916.76025000001
2022-04-24,22,22,19935.198,906.1453636363636,20.0,19498.65275
2022-05-01,21,21,24998.9385,1190.425642857143,21.0,22688.170124999997
2022-05-08,16,16,16072.2445,1004.51528125,19.0,21377.756125
2022-05-15,21,21,15534.464,739.736380952381,20.0,19135.21125
2022-05-22,27,28,46123.668,1708.2839999999999,21.25,25682.32875
2022-05-29,17,17,36546.905999999995,2149.8179999999998,20.25,28569.320625
2022-06-05,27,27,29011.849000000002,1074.512925925926,23.0,31804.22175
2022-06-12,27,28,41193.004,1525.6668148148149,24.5,38218.85675
2022-06-19,16,16,13789.363,861.8351875,21.75,30135.280499999997
2022-06-26,22,23,28846.489999999998,1311.2040909090908,23.0,28210.1765
2022-07-03,15,15,11403.0965,760.2064333333333,20.0,23807.988375
2022-07-10,16,16,21005.2415,1312.82759375,17.25,18761.047749999998
2022-07-17,30,30,62060.620500000005,2068.68735,20.75,30828.862125
2022-07-24,24,24,62585.784,2607.741,21.25,39263.685625
2022-07-31,18,18,27658.902000000002,1536.6056666666668,22.0,43327.637
2022-08-07,17,17,25917.1835,1524.540205882353,22.25,44555.6225
2022-08-14,18,18,14984.027,832.4459444444444,19.25,32786.474125
2022-08-21,24,24,31536.89,1314.0370833333334,19.25,25024.250625
2022-08-28,24,24,-3728.0795000000026,-155.33664583333345,20.75,17177.50525
2022-09-04,21,21,23136.4425,1101.735357142857,21.75,16482.32
2022-09-11,24,24,20950.786,872.9494166666667,23.25,17974.009749999997
2022-09-18,17,17,14219.6005,836.4470882352941,21.5,13644.687375
2022-09-25,24,24,36632.841,1526.368375,21.5,23734.9175
2022-10-02,17,18,19830.636,1166.5079999999998,20.5,22908.465875
2022-10-09,16,16,59669.4325,3729.33953125,18.5,32588.127500000002
2022-10-16,18,18,18102.7675,1005.7093055555556,18.75,33558.91925
2022-10-23,34,34,38529.6605,1133.2253088235293,21.25,34033.124125
2022-10-30,28,28,27213.4945,971.9105178571428,24.0,35878.83875
2022-11-06,40,41,63541.216,1588.5304,30.0,36846.784625
2022-11-13,23,23,29917.4265,1300.7576739130436,31.25,39800.449375
2022-11-20,23,23,29912.3515,1300.5370217391305,28.5,37646.122125
2022-11-27,23,23,21782.802,947.078347826087,27.25,36288.449
2022-12-04,21,21,17844.497,849.7379523809524,22.5,24864.26925
2022-12-11,22,22,247.6834999999993,11.258340909090878,22.25,17446.833499999997
2022-12-18,33,33,45934.7765,1391.9629242424242,24.75,21452.43975
2022-12-25,29,29,46655.508,1608.8106206896553,26.25,27670.61625
2023-01-01,24,24,21003.4785,875.1449375000001,27.0,28460.361625
2023-01-08,15,15,20649.158,1376.6105333333333,25.25,33560.73025
2023-01-15,24,24,48818.9305,2034.1221041666668,23.0,34281.76875
2023-01-22,37,37,41291.4215,1115.9843648648648,25.0,32940.747124999994
2023-01-29,22,22,18211.2415,827.7837045454545,24.5,32242.687875
2023-02-05,22,22,24262.593,1102.8451363636364,26.25,33146.046625
2023-02-12,20,20,30804.2885,1540.214425,25.25,28642.386124999997
2023-02-19,29,29,61139.999,2108.275827586207,23.25,33604.5305
2023-02-26,28,28,24569.3565,877.4770178571429,24.75,35194.05925
2023-03-05,39,39,34510.1305,884.875141025641,29.0,37755.943625
2023-03-12,28,29,46995.241500000004,1678.4014821428573,31.0,41803.681875
2023-03-19,22,23,20913.9435,950.6337954545455,29.25,31747.168
2023-03-26,26,26,52841.8005,2032.3769423076922,28.75,38815.278999999995
2023-04-02,21,21,27197.64,1295.1257142857144,24.25,36987.156375
2023-04-09,27,28,27470.1665,1017.4135740740741,24.0,32105.887624999996
2023-04-16,26,26,22251.4095,855.8234423076924,25.0,32440.254125
2023-04-23,21,21,25749.783,1226.1801428571428,23.75,25667.24975
2023-04-30,25,25,22763.4885,910.53954,24.75,24558.711875
2023-05-07,34,34,38888.097,1143.7675588235295,26.5,27413.1945
2023-05-14,25,25,164047.1285,6561.885139999999,26.25,62862.12424999999
2023-05-21,22,22,46512.444,2114.202,26.5,68052.7895
2023-05-28,27,27,33000.923,1222.2564074074076,27.0,70612.14812499999
2023-06-04,34,34,60238.861,1771.731205882353,27.0,75949.839125
2023-06-11,17,17,18676.6975,1098.6292647058822,25.0,39607.231374999996
2023-06-18,29,29,77206.245,2662.2843103448276,26.75,47280.68162499999
2023-06-25,34,35,70766.992,2081.3821176470587,28.5,56722.19887499999
2023-07-02,30,31,53160.53999999999,1772.0179999999998,27.5,54952.61862499999
2023-07-09,40,40,42547.6365,1063.6909125,33.25,60920.35337499999
2023-07-16,25,25,32835.166,1313.40664,32.25,49827.58362499999
2023-07-23,30,30,28138.5945,937.9531499999999,31.25,39170.484249999994
2023-07-30,43,46,61508.9875,1430.441569767442,34.5,41257.596125
2023-08-06,33,33,37030.2065,1122.1274696969697,32.75,39878.238625
2023-08-13,19,20,21783.1835,1146.483342105263,31.25,37115.242999999995
2023-08-20,30,30,59266.623,1975.5541,31.25,44897.25012499999
2023-08-27,28,28,32168.034,1148.8583571428571,27.5,37562.01174999999
2023-09-03,29,29,27124.852,935.339724137931,26.5,35085.673124999994
2023-09-10,34,34,137442.093,4042.4145,30.25,64000.40049999999
2023-09-17,25,25,35868.288,1434.73152,29.0,58150.81674999999
2023-09-24,46,46,107848.3655,2344.529684782609,33.5,77070.89962499999
2023-10-01,30,30,39861.9325,1328.7310833333333,33.75,80255.16974999999
2023-10-08,40,41,56444.3005,1411.1075125,35.25,60005.72162499999
2023-10-15,28,28,23510.2515,839.6518392857142,36.0,56916.212499999994
2023-10-22,38,38,39051.322,1027.6663684210525,34.0,39716.951624999994
2023-10-29,34,34,44249.512,1301.4562352941177,35.0,40813.84649999999
2023-11-05,33,33,63878.6145,1935.715590909091,33.25,42672.42499999999
2023-11-12,33,33,53203.742999999995,1612.2346363636361,34.5,50095.797875
2023-11-19,32,32,46099.5545,1440.611078125,33.0,51857.85599999999
2023-11-26,40,40,138038.8635,3450.9715875,34.5,75305.193875
2023-12-03,30,30,47176.697,1572.5565666666666,33.75,71129.71449999999
2023-12-10,46,47,48417.4285,1052.5527934782608,37.0,69933.13587499999
2023-12-17,34,34,83665.067,2460.7372647058824,37.5,79324.514
2023-12-24,27,27,25203.596,933.4665185185186,34.25,51115.69712499999
