order_item_id,order_id,product_id,quantity,unit_price,discount
22,8,240,1,555.47,0.0
49,18,47,1,513.39,0.0
243,103,255,1,249.2,0.0
557,233,234,2,486.72,0.0
825,356,50,1,240.1,0.0
930,402,54,2,679.71,0.2
1054,458,142,1,717.32,0.0
1176,512,245,1,11506.5,0.1
1301,569,274,3,528.78,0.0
1499,664,3,2,978.72,0.1
1504,665,154,1,115.68,0.2
1540,677,284,1,228.9,0.0
1717,770,184,1,278.4,0.05
1761,789,85,1,530.7,0.05
1932,865,130,3,454.11,0.05
1961,880,160,3,150.1,0.0
2131,949,200,1,533.81,0.0
2178,970,149,1,382.77,0.0
2213,988,268,1,23.79,0.0
2287,1019,2,3,807.37,0.0
2290,1019,53,1,192.38,0.0
2330,1036,110,1,52.92,0.15
2470,1099,143,1,421.93,0.05
2606,1160,65,1,460.75,0.05
2675,1191,81,2,779.01,0.0
2691,1197,17,2,953.82,0.0
2885,1283,300,1,133.29,0.15
3080,1375,225,1,939.11,0.0
3109,1385,238,1,192.17,0.0
3505,1556,31,1,976.57,0.0
3905,1722,278,1,402.71,0.05
3997,1762,222,1,264.61,0.0
4017,1771,295,-1,139.02,0.0
4111,1811,57,1,510.39,0.0
4150,1829,12,3,156.75,0.15
4211,1855,75,1,299.66,0.05
4214,1857,19,1,727.02,0.1
4285,1889,140,-1,500.02,0.1
4333,1911,94,1,514.73,0.0
4423,1951,22,1,205.71,0.0
4516,1996,146,1,443.54,0.0
4610,2038,278,1,402.71,0.05
4750,2092,237,1,335.88,0.0
4780,2106,60,-1,148.68,0.05
4908,2160,277,1,437.32,0.0
4981,2194,93,1,98.57,0.0
5071,2239,243,1,746.93,0.05
5118,2265,24,3,696.97,0.0
5254,2333,170,1,723.66,0.0
5435,2418,177,1,156.12,0.2
5459,2430,114,2,23.97,0.05
5669,2521,25,2,282.92,0.0
5811,2576,275,1,82.62,0.1
5863,2601,41,1,376.48,0.0
6030,2670,200,1,533.81,0.0
6565,2893,71,2,362.18,0.0
