revenue_month,revenue,previous_month_revenue,revenue_change,percentage_change
2023-01,141785.11,,,
2023-02,135209.46,141785.11,-6575.66,-4.64
2023-03,172275.15,135209.46,37065.7,27.41
2023-04,106562.9,172275.15,-65712.26,-38.14
2023-05,312271.28,106562.9,205708.39,193.04
2023-06,226846.85,312271.28,-85424.44,-27.36
2023-07,200398.05,226846.85,-26448.8,-11.66
2023-08,164611.43,200398.05,-35786.62,-17.86
2023-09,321632.97,164611.43,157021.54,95.39
2023-10,197016.29,321632.97,-124616.68,-38.74
2023-11,321623.83,197016.29,124607.54,63.25
2023-12,244383.27,321623.83,-77240.56,-24.02
2024-01,258441.4,244383.27,14058.13,5.75
2024-02,224095.59,258441.4,-34345.81,-13.29
2024-03,260957.09,224095.59,36861.5,16.45
2024-04,299450.76,260957.09,38493.67,14.75
2024-05,349119.44,299450.76,49668.68,16.59
2024-06,352602.63,349119.44,3483.2,1.0
2024-07,236592.06,352602.63,-116010.58,-32.9
2024-08,454886.62,236592.06,218294.56,92.27
2024-09,266306.7,454886.62,-188579.92,-41.46
2024-10,264457.67,266306.7,-1849.03,-0.69
2024-11,355747.37,264457.67,91289.7,34.52
2024-12,282790.87,355747.37,-72956.5,-20.51
