category,product_id,name,net_revenue,revenue_rank
Apparel,139,About Men,46240.5,1
Apparel,104,Major Men,45950.88,2
Apparel,136,Watch Footwear,45845.05,3
Apparel,131,Spring Kid,43443.58,4
Apparel,107,Appear Women,40099.07,5
Apparel,142,Card Footwear,39954.72,6
Apparel,123,Anything Footwear,39229.85,7
Apparel,116,Ahead Men,36435.13,8
Apparel,117,White Men,29974.03,9
Apparel,125,Increase Women,29440.15,10
Apparel,135,Road Women,29386.78,11
Apparel,134,Democrat Kid,28741.96,12
Apparel,129,Direction Kid,27873.8,13
Apparel,147,Later Women,27273.33,14
Apparel,140,Fall Footwear,27101.08,15
Apparel,128,Pretty Kid,25808.64,16
Apparel,146,Difficult Women,24106.4,17
Apparel,118,During Men,23743.95,18
Apparel,103,Carry Women,22413.89,19
Apparel,133,Actually Kid,20535.01,20
Apparel,130,Fly Kid,18868.27,21
Apparel,148,Answer Women,18649.4,22
Apparel,124,Act Kid,17766.38,23
Apparel,108,Word Men,17687.63,24
Apparel,119,Reflect Kid,17311.01,25
Apparel,143,Writer Women,17299.13,26
Apparel,149,Move Kid,16994.99,27
Apparel,101,Cut Women,16972.6,28
Apparel,122,Attorney Men,16398.18,29
Apparel,102,Three Women,16236.48,30
Apparel,105,Physical Footwear,15711.37,31
Apparel,126,Field Men,13299.1,32
Apparel,132,Set Men,12289.55,33
Apparel,141,Happen Men,11654.71,34
Apparel,137,Particular Kid,10521.74,35
Apparel,144,Almost Women,9292.56,36
Apparel,115,Quickly Footwear,8916.55,37
Apparel,111,Situation Men,8580.95,38
Apparel,106,Oil Footwear,8552.28,39
Apparel,150,Population Kid,8423.05,40
Apparel,121,Themselves Footwear,7023.45,41
Apparel,127,Research Footwear,5703.68,42
Apparel,120,Society Kid,5393.43,43
Apparel,145,Unit Men,3085.02,44
Apparel,138,By Kid,2668.59,45
Apparel,113,Represent Kid,2504.18,46
Apparel,109,Health Footwear,2369.2,47
Apparel,110,Section Footwear,1659.04,48
Apparel,114,History Kid,1137.38,49
Apparel,112,Performance Women,489.29,50
Beauty & Health,245,Throughout Personal Care,479821.05,1
Beauty & Health,250,Discover Haircare,402188.2,2
Beauty & Health,211,Everyone Skincare,51300.96,3
Beauty & Health,225,Discover Skincare,45499.88,4
Beauty & Health,230,Fight Supplement,39908.09,5
Beauty & Health,249,Across Skincare,38480.03,6
Beauty & Health,240,Military Supplement,36744.34,7
Beauty & Health,243,Son Personal Care,36375.49,8
Beauty & Health,209,Leg Skincare,35546.65,9
Beauty & Health,221,Response Haircare,33757.53,10
Beauty & Health,215,Want Supplement,32396.12,11
Beauty & Health,207,Impact Haircare,31563.5,12
Beauty & Health,204,Artist Supplement,29569.53,13
Beauty & Health,220,Run Skincare,28808.03,14
Beauty & Health,247,Good Haircare,28542.88,15
Beauty & Health,246,Close Personal Care,26241.45,16
Beauty & Health,202,Thank Skincare,23786.07,17
Beauty & Health,239,Increase Haircare,22576.08,18
Beauty & Health,201,When Supplement,22054.37,19
Beauty & Health,206,Office Skincare,21928.93,20
Beauty & Health,231,Food Personal Care,20467.91,21
Beauty & Health,229,Thus Skincare,19472.95,22
Beauty & Health,234,House Skincare,19420.13,23
Beauty & Health,217,Measure Skincare,19047.4,24
Beauty & Health,203,Officer Skincare,17717.8,25
Beauty & Health,212,Another Personal Care,17491.76,26
Beauty & Health,237,Against Skincare,17197.06,27
Beauty & Health,205,Back Haircare,14213.15,28
Beauty & Health,214,Safe Skincare,13289.68,29
Beauty & Health,235,Training Personal Care,13064.18,30
Beauty & Health,222,Car Supplement,12489.59,31
Beauty & Health,208,Series Skincare,11495.09,32
Beauty & Health,244,Thus Supplement,11188.13,33
Beauty & Health,241,Low Personal Care,10346.86,34
Beauty & Health,226,Recognize Skincare,9984.26,35
Beauty & Health,216,Effort Supplement,9192.96,36
Beauty & Health,228,Over Skincare,9138.41,37
Beauty & Health,238,Able Haircare,8878.25,38
Beauty & Health,242,Huge Personal Care,8587.37,39
Beauty & Health,218,Month Supplement,8107.09,40
Beauty & Health,219,Example Supplement,8034.42,41
Beauty & Health,227,Daughter Supplement,7159.08,42
Beauty & Health,210,Me Haircare,6933.07,43
Beauty & Health,213,Star Supplement,5406.98,44
Beauty & Health,248,Generation Haircare,3848.55,45
Beauty & Health,233,Say Haircare,3212.99,46
Beauty & Health,223,Sense Supplement,3152.82,47
Beauty & Health,232,Partner Personal Care,3056.37,48
Beauty & Health,236,Down Haircare,1548.64,49
Beauty & Health,224,Voice Skincare,775.68,50
Books & Media,270,Environmental Non-Fiction,1438470.0,1
Books & Media,293,Almost Non-Fiction,43242.81,2
Books & Media,290,Administration Children,42539.33,3
Books & Media,274,Product Children,41112.64,4
Books & Media,265,Create Non-Fiction,41100.38,5
Books & Media,299,Know Non-Fiction,38030.45,6
Books & Media,287,Total Fiction,36802.03,7
Books & Media,260,Form Media,34793.91,8
Books & Media,253,Happen Fiction,34082.86,9
Books & Media,271,Create Children,30097.56,10
Books & Media,269,Note Non-Fiction,27503.55,11
Books & Media,258,Difference Fiction,26014.04,12
Books & Media,289,Available Non-Fiction,25668.54,13
Books & Media,283,Strategy Children,25450.33,14
Books & Media,288,Beyond Media,23083.65,15
Books & Media,285,Foot Children,22963.38,16
Books & Media,261,Especially Fiction,22877.8,17
Books & Media,251,College Fiction,22789.81,18
Books & Media,277,Your Non-Fiction,22019.06,19
Books & Media,273,Ask Children,20336.71,20
Books & Media,296,Question Non-Fiction,18737.61,21
Books & Media,292,Store Fiction,18644.78,22
Books & Media,278,Page Fiction,18403.85,23
Books & Media,276,Recently Non-Fiction,15695.66,24
Books & Media,259,Hundred Fiction,14876.84,25
Books & Media,255,Activity Non-Fiction,14304.08,26
Books & Media,256,Baby Non-Fiction,14120.66,27
Books & Media,282,Discuss Fiction,13497.34,28
Books & Media,263,Way Media,13441.66,29
Books & Media,267,Born Fiction,12456.67,30
Books & Media,284,Do Fiction,11742.57,31
Books & Media,262,Case Media,11591.16,32
Books & Media,254,Them Children,11201.88,33
Books & Media,298,Wait Media,10656.03,34
Books & Media,252,Property Non-Fiction,10593.0,35
Books & Media,279,Scientist Non-Fiction,10127.07,36
Books & Media,300,Those Non-Fiction,6877.76,37
Books & Media,266,Feeling Non-Fiction,6359.73,38
Books & Media,295,Among Media,6221.15,39
Books & Media,280,Start Fiction,5718.51,40
Books & Media,294,Owner Non-Fiction,5322.75,41
Books & Media,281,Citizen Non-Fiction,5188.39,42
Books & Media,275,Culture Children,4597.8,43
Books & Media,297,Want Media,4055.65,44
Books & Media,286,Give Non-Fiction,2211.97,45
Books & Media,291,Since Non-Fiction,840.65,46
Books & Media,268,Machine Media,825.51,47
Books & Media,264,Include Non-Fiction,530.55,48
Books & Media,257,Minute Children,401.94,49
Books & Media,272,Pass Children,319.21,50
